Tissue	Module	Id	Symbol	is.hub
Metabolite	M17	X62864	mannonate*	no
Metabolite	M17	X63153	metabolonic lactone sulfate	no
Metabolite	M174	X22001	3-hydroxyoctanoate	no
Metabolite	M174	X22053	3-hydroxydecanoate	no
Metabolite	M174	X32457	3-hydroxylaurate	no
Metabolite	M174	X46398	X - 21353	no
Metabolite	M174	X46640	X - 15469	no
Metabolite	M174	X47783	X - 22519	no
Metabolite	M174	X47802	X - 16397	no
Metabolite	M174	X47804	X - 16580	no
Metabolite	M174	X47820	X - 17335	no
Metabolite	M174	X49555	X - 23678	no
Metabolite	M174	X49681	X - 23782	no
Metabolite	M174	X53230	3-hydroxyhexanoate	no
Metabolite	M174	X61843	3-hydroxyoleate*	no
Metabolite	M174	X63358	3-hydroxydecanoylcarnitine	no
Metabolite	M174	X63361	3-decenoylcarnitine	no
Metabolite	M175	X1642	caprate (10:0)	no
Metabolite	M175	X32492	caprylate (8:0)	no
Metabolite	M175	X33968	5-dodecenoate (12:1n7)	yes
Metabolite	M175	X46674	X - 21607	no
Metabolite	M175	X62276	dodecadienoate (12:2)*	no
Metabolite	M175	X62850	tetradecadienoate (14:2)*	no
Metabolite	M175	X62873	cis-4-decenoate (10:1n6)*	no
Metabolite	M175	X63436	(2 or 3)-decenoate (10:1n7 or n8)	no
Metabolite	M175	X63615	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	no
Metabolite	M175	X63617	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (3)*	no
Metabolite	M175	X63683	branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	no
Metabolite	M176	X15730	suberate (C8-DC)	no
Metabolite	M176	X18362	azelate (C9-DC)	no
Metabolite	M176	X35527	4-hydroxyhippurate	no
Metabolite	M176	X43592	4-methylbenzenesulfonate	no
Metabolite	M176	X46960	sulfate*	no
Metabolite	M176	X47993	X - 17010	yes
Metabolite	M176	X48081	X - 22776	no
Metabolite	M176	X48429	methyl-4-hydroxybenzoate sulfate	no
Metabolite	M176	X48433	N-formylphenylalanine	no
Metabolite	M176	X48460	propyl 4-hydroxybenzoate sulfate	no
Metabolite	M176	X48972	X - 23276	no
Metabolite	M178	X22001	3-hydroxyoctanoate	no
Metabolite	M178	X22053	3-hydroxydecanoate	no
Metabolite	M178	X32457	3-hydroxylaurate	yes
Metabolite	M178	X46398	X - 21353	no
Metabolite	M178	X47783	X - 22519	no
Metabolite	M178	X47802	X - 16397	no
Metabolite	M178	X47804	X - 16580	no
Metabolite	M178	X47820	X - 17335	no
Metabolite	M178	X49555	X - 23678	no
Metabolite	M178	X53230	3-hydroxyhexanoate	no
Metabolite	M178	X61843	3-hydroxyoleate*	no
Metabolite	M18	X1101	homovanillate (HVA)	no
Metabolite	M18	X1124	myo-inositol	no
Metabolite	M18	X12110	isocitrate	no
Metabolite	M18	X1417	kynurenate	no
Metabolite	M18	X1418	5,6-dihydrothymine	no
Metabolite	M18	X1432	2-hydroxyphenylacetate	no
Metabolite	M18	X15136	xanthosine	no
Metabolite	M18	X15140	kynurenine	no
Metabolite	M18	X15506	choline	no
Metabolite	M18	X1558	4-acetamidobutanoate	no
Metabolite	M18	X15650	N1-methyladenosine	no
Metabolite	M18	X1566	3-aminoisobutyrate	no
Metabolite	M18	X1567	vanillylmandelate (VMA)	no
Metabolite	M18	X15679	xanthurenate	no
Metabolite	M18	X15716	imidazole lactate	no
Metabolite	M18	X1604	urate	no
Metabolite	M18	X1899	quinolinate	no
Metabolite	M18	X27718	creatine	no
Metabolite	M18	X30460	1-methylhistidine	no
Metabolite	M18	X32349	4-imidazoleacetate	no
Metabolite	M18	X32350	1-methyl-4-imidazoleacetate	no
Metabolite	M18	X32377	N-acetylneuraminate	no
Metabolite	M18	X33132	X - 11787	no
Metabolite	M18	X33442	pseudouridine	no
Metabolite	M18	X35114	7-methylguanine	no
Metabolite	M18	X35130	N4-acetylcytidine	no
Metabolite	M18	X35132	3-methylcytidine	no
Metabolite	M18	X35137	N2,N2-dimethylguanosine	yes
Metabolite	M18	X35157	N6-carbamoylthreonyladenosine	no
Metabolite	M18	X35172	orotidine	no
Metabolite	M18	X35482	2-methylmalonylcarnitine (C4-DC)	no
Metabolite	M18	X36808	dimethylarginine (SDMA + ADMA)	no
Metabolite	M18	X37058	succinylcarnitine (C4-DC)	no
Metabolite	M18	X37059	malonylcarnitine	no
Metabolite	M18	X37496	N-acetylputrescine	no
Metabolite	M18	X38754	gamma-carboxyglutamate	no
Metabolite	M18	X42420	erythronate*	no
Metabolite	M18	X43258	acisoga	no
Metabolite	M18	X43488	N-acetylcarnosine	no
Metabolite	M18	X43582	5-(galactosylhydroxy)-L-lysine	no
Metabolite	M18	X45413	O-sulfo-L-tyrosine	no
Metabolite	M18	X46225	pyroglutamine*	no
Metabolite	M18	X46283	X - 15461	no
Metabolite	M18	X46428	X - 21383	no
Metabolite	M18	X46548	3-methylglutarylcarnitine (2)	no
Metabolite	M18	X46623	X - 12729	no
Metabolite	M18	X46624	X - 12798	no
Metabolite	M18	X46636	X - 12849	no
Metabolite	M18	X46961	X - 21785 - retired for 2-O-methylascorbic acid	no
Metabolite	M18	X46970	X - 17676	no
Metabolite	M18	X46973	X - 12718	no
Metabolite	M18	X46977	X - 15503	no
Metabolite	M18	X47687	X - 12100	no
Metabolite	M18	X47695	X - 12117	no
Metabolite	M18	X47905	X - 12026	no
Metabolite	M18	X48046	X - 18838	no
Metabolite	M18	X48149	N-acetylglucosaminylasparagine	no
Metabolite	M18	X48351	N1-methylinosine	no
Metabolite	M18	X48782	C-glycosyltryptophan	yes
Metabolite	M18	X49536	X - 23659	no
Metabolite	M18	X49539	X - 23662	no
Metabolite	M18	X513	creatinine	no
Metabolite	M18	X52533	X - 24337	no
Metabolite	M18	X52597	X - 12104	no
Metabolite	M18	X52839	X - 24518	no
Metabolite	M18	X52987	N1,N12-diacetylspermine	no
Metabolite	M18	X53031	methylsuccinoylcarnitine	no
Metabolite	M18	X53114	X - 24686	no
Metabolite	M18	X53127	X - 24699	no
Metabolite	M18	X53157	X - 24728	no
Metabolite	M18	X57687	N,N,N-trimethyl-5-aminovalerate	no
Metabolite	M18	X57814	(N(1) + N(8))-acetylspermidine	no
Metabolite	M18	X601	dihydroorotate	no
Metabolite	M18	X61833	5,6-dihydrouridine	no
Metabolite	M18	X61868	1-ribosyl-imidazoleacetate*	no
Metabolite	M18	X62060	hydroxyasparagine**	yes
Metabolite	M18	X62100	5-methylthioribose**	no
Metabolite	M18	X62101	alpha-ketoglutaramate*	no
Metabolite	M18	X62309	N-acetyl-isoputreanine	no
Metabolite	M18	X62664	X - 25371	no
Metabolite	M18	X62783	dimethylguanidino valeric acid (DMGV)*	no
Metabolite	M18	X62805	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	yes
Metabolite	M18	X62853	3-amino-2-piperidone	no
Metabolite	M18	X62924	3-(3-amino-3-carboxypropyl)uridine*	no
Metabolite	M18	X62947	N,N,N-trimethyl-alanylproline betaine (TMAP)	no
Metabolite	M18	X62955	8-methoxykynurenate	no
Metabolite	M18	X63057	picolinoylglycine	no
Metabolite	M18	X63560	X - 25790	no
Metabolite	M18	X63739	2-hydroxy-4-(methylthio)butanoic acid	no
Metabolite	M19	X1559	5,6-dihydrouracil	no
Metabolite	M19	X27731	ribonate	no
Metabolite	M19	X35665	N-acetyl-aspartyl-glutamate (NAAG)	no
Metabolite	M19	X48130	N6-succinyladenosine	no
Metabolite	M19	X52294	2-hydroxyglutarate	no
Metabolite	M19	X54841	X - 24813	yes
Metabolite	M19	X56	cystine	no
Metabolite	M19	X57554	2'-O-methylcytidine	no
Metabolite	M19	X57655	2'-O-methyluridine	no
Metabolite	M19	X587	gluconate	no
Metabolite	M19	X62494	X - 25265	no
Metabolite	M19	X63634	X - 25828	yes
Metabolite	M2	X1125	isoleucine	no
Metabolite	M2	X12129	beta-hydroxyisovalerate	no
Metabolite	M2	X1284	threonine	no
Metabolite	M2	X1299	tyrosine	no
Metabolite	M2	X1301	lysine	no
Metabolite	M2	X1302	methionine	no
Metabolite	M2	X1303	malate	no
Metabolite	M2	X1493	ornithine	no
Metabolite	M2	X1494	5-oxoproline	no
Metabolite	M2	X1498	N6,N6,N6-trimethyllysine	no
Metabolite	M2	X1515	salicylate	no
Metabolite	M2	X1549	3-hydroxyisobutyrate	no
Metabolite	M2	X15581	xylose	no
Metabolite	M2	X1561	alpha-tocopherol	no
Metabolite	M2	X1564	citrate	no
Metabolite	M2	X15676	3-methyl-2-oxovalerate	no
Metabolite	M2	X15677	3-methylhistidine	no
Metabolite	M2	X15681	4-guanidinobutanoate	no
Metabolite	M2	X15685	5-hydroxylysine	no
Metabolite	M2	X15705	cystathionine	no
Metabolite	M2	X15720	N-acetylglutamate	no
Metabolite	M2	X15745	methylsuccinate	no
Metabolite	M2	X15749	3-phenylpropionate (hydrocinnamate)	no
Metabolite	M2	X15753	hippurate	no
Metabolite	M2	X15772	ribitol	no
Metabolite	M2	X1585	N-acetylalanine	no
Metabolite	M2	X1587	N-acetylleucine	no
Metabolite	M2	X1589	N-acetylmethionine	no
Metabolite	M2	X1591	N-acetylvaline	no
Metabolite	M2	X15990	glycerophosphorylcholine (GPC)	no
Metabolite	M2	X1638	arginine	no
Metabolite	M2	X1643	fumarate	no
Metabolite	M2	X1649	valine	no
Metabolite	M2	X1669	4-hydroxyphenylpyruvate	no
Metabolite	M2	X1670	urea	no
Metabolite	M2	X1712	cortisol	no
Metabolite	M2	X1769	cortisone	no
Metabolite	M2	X18245	gamma-glutamylhistidine	no
Metabolite	M2	X18280	gentisate	no
Metabolite	M2	X18281	2-hydroxyhippurate (salicylurate)	no
Metabolite	M2	X18349	indolelactate	no
Metabolite	M2	X18369	gamma-glutamylleucine	no
Metabolite	M2	X18374	methionine sulfoxide	no
Metabolite	M2	X19130	1,2-dipalmitoyl-GPC (16:0/16:0)	no
Metabolite	M2	X19258	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	no
Metabolite	M2	X19263	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	no
Metabolite	M2	X19503	stearoyl sphingomyelin (d18:1/18:0)	no
Metabolite	M2	X2132	citrulline	no
Metabolite	M2	X2137	biliverdin	no
Metabolite	M2	X22116	4-methyl-2-oxopentanoate	no
Metabolite	M2	X22130	phenyllactate (PLA)	no
Metabolite	M2	X22132	alpha-hydroxyisocaproate	no
Metabolite	M2	X22137	homoarginine	no
Metabolite	M2	X22138	homocitrulline	no
Metabolite	M2	X2730	gamma-glutamylglutamine	no
Metabolite	M2	X2734	gamma-glutamyltyrosine	no
Metabolite	M2	X2829	N-formylmethionine	no
Metabolite	M2	X2831	adenosine 3',5'-cyclic monophosphate (cAMP)	no
Metabolite	M2	X3155	3-ureidopropionate	no
Metabolite	M2	X31591	androsterone sulfate	no
Metabolite	M2	X31675	2-pyrrolidinone	no
Metabolite	M2	X31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	no
Metabolite	M2	X32197	3-(4-hydroxyphenyl)lactate	no
Metabolite	M2	X32390	N-acetyltyrosine	no
Metabolite	M2	X32397	3-hydroxy-2-ethylpropionate	no
Metabolite	M2	X32405	indolepropionate	no
Metabolite	M2	X32425	dehydroepiandrosterone sulfate (DHEA-S)	no
Metabolite	M2	X32562	pregnenediol disulfate (C21H34O8S2)*	no
Metabolite	M2	X32586	bilirubin (E,E)*	no
Metabolite	M2	X32619	pregnenediol sulfate (C21H34O5S)*	no
Metabolite	M2	X32827	andro steroid monosulfate C19H28O6S (1)*	no
Metabolite	M2	X33013	nicotinamide riboside	no
Metabolite	M2	X33140	X - 11795	no
Metabolite	M2	X33228	1-arachidonoyl-GPC (20:4n6)*	no
Metabolite	M2	X33230	1-palmitoleoyl-GPC (16:1)*	no
Metabolite	M2	X33364	gamma-glutamylthreonine	no
Metabolite	M2	X33384	salicyluric glucuronide*	no
Metabolite	M2	X33418	delta-tocopherol	no
Metabolite	M2	X33422	gamma-glutamylphenylalanine	no
Metabolite	M2	X33934	gamma-glutamyl-epsilon-lysine	no
Metabolite	M2	X33939	N-acetylthreonine	no
Metabolite	M2	X33942	N-acetylasparagine	no
Metabolite	M2	X33943	N-acetylglutamine	no
Metabolite	M2	X33946	N-acetylhistidine	no
Metabolite	M2	X33947	gamma-glutamyltryptophan	no
Metabolite	M2	X33950	N-acetylphenylalanine	no
Metabolite	M2	X33953	N-acetylarginine	no
Metabolite	M2	X33955	1-palmitoyl-GPC (16:0)	no
Metabolite	M2	X33959	N-acetyltryptophan	no
Metabolite	M2	X33961	1-stearoyl-GPC (18:0)	no
Metabolite	M2	X33967	N-acetylisoleucine	no
Metabolite	M2	X33973	epiandrosterone sulfate	no
Metabolite	M2	X33997	campesterol	no
Metabolite	M2	X34384	stachydrine	no
Metabolite	M2	X34419	1-linoleoyl-GPC (18:2)	no
Metabolite	M2	X34456	gamma-glutamylisoleucine*	no
Metabolite	M2	X35127	pro-hydroxy-pro	no
Metabolite	M2	X35133	N2-methylguanosine	no
Metabolite	M2	X35186	1-arachidonoyl-GPE (20:4n6)*	no
Metabolite	M2	X35253	2-palmitoyl-GPC (16:0)*	no
Metabolite	M2	X35428	tiglylcarnitine (C5:1-DC)	no
Metabolite	M2	X35433	beta-hydroxyisovaleroylcarnitine	no
Metabolite	M2	X35628	1-oleoyl-GPE (18:1)	no
Metabolite	M2	X35631	1-palmitoyl-GPE (16:0)	no
Metabolite	M2	X35651	ectoine	no
Metabolite	M2	X36600	1-linoleoyl-GPE (18:2)*	no
Metabolite	M2	X36746	2-hydroxy-3-methylvalerate	no
Metabolite	M2	X36747	deoxycarnitine	no
Metabolite	M2	X36749	3-methyladipate	no
Metabolite	M2	X36752	N6-acetyllysine	no
Metabolite	M2	X37076	N-acetylserine	no
Metabolite	M2	X37092	gamma-glutamyl-2-aminobutyrate	no
Metabolite	M2	X37097	tryptophan betaine	no
Metabolite	M2	X37181	4-allylphenol sulfate	no
Metabolite	M2	X37183	5alpha-androstan-3alpha,17alpha-diol monosulfate	no
Metabolite	M2	X37186	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	no
Metabolite	M2	X37187	5alpha-androstan-3beta,17alpha-diol disulfate	no
Metabolite	M2	X37190	5alpha-androstan-3beta,17beta-diol disulfate	no
Metabolite	M2	X37192	5alpha-androstan-3beta,17beta-diol monosulfate (2)	no
Metabolite	M2	X37202	androstenediol (3beta,17beta) disulfate (1)	no
Metabolite	M2	X37203	androstenediol (3beta,17beta) disulfate (2)	no
Metabolite	M2	X37207	androstenediol (3alpha, 17alpha) monosulfate (2)	no
Metabolite	M2	X37209	androstenediol (3alpha, 17alpha) monosulfate (3)	no
Metabolite	M2	X37210	androstenediol (3beta,17beta) monosulfate (2)	no
Metabolite	M2	X37211	androstenediol (3beta,17beta) monosulfate (1)	no
Metabolite	M2	X37431	N-methylproline	no
Metabolite	M2	X37432	N-acetyl-beta-alanine	no
Metabolite	M2	X37455	glycerophosphoethanolamine	no
Metabolite	M2	X37482	17alpha-hydroxypregnenolone 3-sulfate	no
Metabolite	M2	X37506	palmitoyl sphingomyelin (d18:1/16:0)	no
Metabolite	M2	X37529	sphingomyelin (d18:1/18:1, d18:2/18:0)	no
Metabolite	M2	X38168	16a-hydroxy DHEA 3-sulfate	no
Metabolite	M2	X38170	pregnenolone sulfate	no
Metabolite	M2	X38276	2,3-dihydroxyisovalerate	no
Metabolite	M2	X38637	cinnamoylglycine	no
Metabolite	M2	X39270	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	no
Metabolite	M2	X39271	1-(1-enyl-stearoyl)-GPE (P-18:0)*	no
Metabolite	M2	X39603	ethyl glucuronide	no
Metabolite	M2	X40008	isoleucylglycine	no
Metabolite	M2	X40406	trimethylamine N-oxide	no
Metabolite	M2	X40473	hydantoin-5-propionate	no
Metabolite	M2	X40475	valylglycine	no
Metabolite	M2	X40703	prolylglycine	no
Metabolite	M2	X40730	imidazole propionate	no
Metabolite	M2	X41220	2-stearoyl-GPE (18:0)*	no
Metabolite	M2	X41888	succinimide	no
Metabolite	M2	X42002	lanthionine	no
Metabolite	M2	X42109	phosphate	no
Metabolite	M2	X42374	2-aminobutyrate	no
Metabolite	M2	X42398	1-stearoyl-GPE (18:0)	no
Metabolite	M2	X42446	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	no
Metabolite	M2	X42448	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	no
Metabolite	M2	X42449	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	no
Metabolite	M2	X42450	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	no
Metabolite	M2	X42459	sphingomyelin (d18:2/16:0, d18:1/16:1)*	no
Metabolite	M2	X42463	sphingomyelin (d18:1/14:0, d16:1/16:0)*	no
Metabolite	M2	X43231	6-oxopiperidine-2-carboxylate	no
Metabolite	M2	X43255	N-acetyl-1-methylhistidine*	no
Metabolite	M2	X43256	N-acetyl-3-methylhistidine*	no
Metabolite	M2	X43266	2-aminophenol sulfate	no
Metabolite	M2	X43424	dimethyl sulfone	no
Metabolite	M2	X43493	formiminoglutamate	no
Metabolite	M2	X43591	N2,N5-diacetylornithine	yes
Metabolite	M2	X43807	bilirubin (Z,Z)	no
Metabolite	M2	X43829	gamma-glutamylvaline	no
Metabolite	M2	X44526	3-methyl-2-oxobutyrate	no
Metabolite	M2	X44621	1-(1-enyl-oleoyl)-GPE (P-18:1)*	no
Metabolite	M2	X44872	gamma-glutamylmethionine	no
Metabolite	M2	X44877	N-palmitoyl-sphingosine (d18:1/16:0)	no
Metabolite	M2	X45951	1-linolenoyl-GPC (18:3)*	no
Metabolite	M2	X46115	21-hydroxypregnenolone disulfate	no
Metabolite	M2	X46144	methyl glucopyranoside (alpha + beta)	no
Metabolite	M2	X46146	4-methylcatechol sulfate	no
Metabolite	M2	X46173	aconitate [cis or trans]	no
Metabolite	M2	X46227	fructosyllysine	no
Metabolite	M2	X46259	X - 21258	no
Metabolite	M2	X46316	X - 21295	no
Metabolite	M2	X46360	X - 11441	no
Metabolite	M2	X46409	X - 21364	no
Metabolite	M2	X46417	X - 13866	no
Metabolite	M2	X46443	X - 11442	no
Metabolite	M2	X46460	X - 11444	no
Metabolite	M2	X46486	X - 21441	no
Metabolite	M2	X46493	X - 21448	no
Metabolite	M2	X46515	X - 21470	no
Metabolite	M2	X46517	X - 16946	no
Metabolite	M2	X46537	alpha-hydroxyisovalerate	no
Metabolite	M2	X46592	X - 11299	no
Metabolite	M2	X46601	X - 11470	no
Metabolite	M2	X46603	X - 11530	no
Metabolite	M2	X46621	X - 12524	no
Metabolite	M2	X46633	X - 12844	no
Metabolite	M2	X46646	X - 13835	no
Metabolite	M2	X46662	X - 15492	no
Metabolite	M2	X46666	X - 15728	no
Metabolite	M2	X46690	X - 18901	no
Metabolite	M2	X46914	X - 11522	no
Metabolite	M2	X46997	X - 12822	no
Metabolite	M2	X46998	X - 21821	no
Metabolite	M2	X47011	X - 21834	no
Metabolite	M2	X47028	X - 21851	no
Metabolite	M2	X47112	etiocholanolone glucuronide	no
Metabolite	M2	X47118	2-palmitoleoyl-GPC (16:1)*	no
Metabolite	M2	X47132	5alpha-androstan-3alpha,17beta-diol 17-glucuronide	no
Metabolite	M2	X47153	sphingomyelin (d18:1/24:1, d18:2/24:0)*	yes
Metabolite	M2	X47154	sphingomyelin (d18:2/14:0, d18:1/14:1)*	no
Metabolite	M2	X47301	X - 18887	no
Metabolite	M2	X47342	X - 18345	no
Metabolite	M2	X47417	X - 22162	no
Metabolite	M2	X47650	X - 11483	no
Metabolite	M2	X47708	X - 12283	no
Metabolite	M2	X47790	X - 13684	no
Metabolite	M2	X47800	X - 15666	no
Metabolite	M2	X47818	X - 17328	no
Metabolite	M2	X47872	X - 17340	no
Metabolite	M2	X48001	X - 17351	no
Metabolite	M2	X48009	X - 17357	no
Metabolite	M2	X48080	X - 22775 - retired for 4-chlorobenzoic acid	no
Metabolite	M2	X48187	N-acetyltaurine	no
Metabolite	M2	X48255	arabonate/xylonate	no
Metabolite	M2	X48258	1-oleoyl-GPC (18:1)	no
Metabolite	M2	X48408	tyramine O-sulfate	no
Metabolite	M2	X48418	4-methylguaiacol sulfate	no
Metabolite	M2	X48434	N-acetylcitrulline	no
Metabolite	M2	X48457	4-methoxyphenol sulfate	no
Metabolite	M2	X48490	sphingomyelin (d18:1/20:0, d16:1/22:0)*	no
Metabolite	M2	X48491	sphingomyelin (d18:1/20:1, d18:2/20:0)*	no
Metabolite	M2	X48492	behenoyl sphingomyelin (d18:1/22:0)*	no
Metabolite	M2	X48493	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	no
Metabolite	M2	X48580	2-acetamidophenol sulfate	no
Metabolite	M2	X48715	eugenol sulfate	no
Metabolite	M2	X48762	1,2,3-benzenetriol sulfate (2)	no
Metabolite	M2	X48763	3-methoxycatechol sulfate (1)	no
Metabolite	M2	X48885	arabitol/xylitol	no
Metabolite	M2	X49463	X - 23587	no
Metabolite	M2	X49466	X - 23590	no
Metabolite	M2	X49469	X - 23593	no
Metabolite	M2	X49592	X - 11315	no
Metabolite	M2	X49637	X - 23739	no
Metabolite	M2	X4968	alpha-ketobutyrate	no
Metabolite	M2	X49688	X - 23787	no
Metabolite	M2	X49704	X - 23314	no
Metabolite	M2	X49883	X - 23974	no
Metabolite	M2	X5086	dimethylglycine	no
Metabolite	M2	X512	asparagine	no
Metabolite	M2	X514	cytidine	no
Metabolite	M2	X52281	2-hydroxybutyrate/2-hydroxyisobutyrate	no
Metabolite	M2	X52340	N-carbamoylalanine	no
Metabolite	M2	X52433	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	no
Metabolite	M2	X52434	palmitoyl dihydrosphingomyelin (d18:0/16:0)*	no
Metabolite	M2	X52435	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	yes
Metabolite	M2	X52436	tricosanoyl sphingomyelin (d18:1/23:0)*	no
Metabolite	M2	X52437	sphingomyelin (d18:2/24:1, d18:1/24:2)*	yes
Metabolite	M2	X52438	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	no
Metabolite	M2	X52446	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	no
Metabolite	M2	X52447	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	no
Metabolite	M2	X52449	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	no
Metabolite	M2	X52450	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	no
Metabolite	M2	X52452	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	no
Metabolite	M2	X52453	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	no
Metabolite	M2	X52454	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	no
Metabolite	M2	X52461	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	no
Metabolite	M2	X52462	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	no
Metabolite	M2	X52464	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	no
Metabolite	M2	X52465	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	no
Metabolite	M2	X52466	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	no
Metabolite	M2	X52467	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	no
Metabolite	M2	X52468	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	no
Metabolite	M2	X52470	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	yes
Metabolite	M2	X52473	gamma-tocopherol/beta-tocopherol	no
Metabolite	M2	X52474	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	no
Metabolite	M2	X52475	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	no
Metabolite	M2	X52477	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	no
Metabolite	M2	X52478	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	no
Metabolite	M2	X52495	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	no
Metabolite	M2	X52504	X - 24309	no
Metabolite	M2	X52530	X - 24334	no
Metabolite	M2	X52603	1,2-dilinoleoyl-GPC (18:2/18:2)	no
Metabolite	M2	X52610	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	no
Metabolite	M2	X52611	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	no
Metabolite	M2	X52614	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	no
Metabolite	M2	X52615	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	no
Metabolite	M2	X52616	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	no
Metabolite	M2	X52623	1-stearoyl-2-oleoyl-GPG (18:0/18:1)	no
Metabolite	M2	X52669	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	no
Metabolite	M2	X52673	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	no
Metabolite	M2	X52677	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	no
Metabolite	M2	X52682	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	no
Metabolite	M2	X52683	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	no
Metabolite	M2	X52684	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*	no
Metabolite	M2	X52687	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	no
Metabolite	M2	X52689	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	no
Metabolite	M2	X52697	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	no
Metabolite	M2	X52710	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	no
Metabolite	M2	X52713	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	no
Metabolite	M2	X52716	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	no
Metabolite	M2	X52748	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	no
Metabolite	M2	X52792	X - 24475	no
Metabolite	M2	X52865	X - 24544	no
Metabolite	M2	X52867	X - 24546	no
Metabolite	M2	X52870	X - 24549	no
Metabolite	M2	X52906	X - 24585	no
Metabolite	M2	X52909	X - 24588	no
Metabolite	M2	X52932	4-hydroxyphenylacetatoylcarnitine	no
Metabolite	M2	X53	glutamine	no
Metabolite	M2	X53010	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	no
Metabolite	M2	X53013	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	no
Metabolite	M2	X53176	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	no
Metabolite	M2	X53180	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	no
Metabolite	M2	X53195	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	no
Metabolite	M2	X54	tryptophan	no
Metabolite	M2	X541	4-hydroxyphenylacetate	no
Metabolite	M2	X54695	X - 24757	no
Metabolite	M2	X54877	X - 24849	no
Metabolite	M2	X54979	N-stearoyl-sphingosine (d18:1/18:0)*	no
Metabolite	M2	X55	beta-alanine	no
Metabolite	M2	X55015	gamma-glutamyl-alpha-lysine	no
Metabolite	M2	X55017	4-hydroxyphenylacetylglutamine	no
Metabolite	M2	X55041	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	no
Metabolite	M2	X55072	2-oxoarginine*	no
