Tissue	Module	Size	Layer	Parent	Hub	Function	Enrichment of aging-upregulated genes	Enrichment of aging-downregulated genes
Adipose	M56	376	3	M4	UBA1,UBE1,TMEM109,CLSTN1,USF2,MKNK1,ITGB4,DENND4B,ST6GALNAC6,LTBP3,PDIA5,TMEM184B,UBR4,TAPBP,TNKS1BP1,EHBP1L1,DHX30,DARC,GBF1,C1orf66,CDC25B,LARP1,POLR2I	EXTRACELLULAR_STRUCTURE_ORGANIZATION	NA	NA
Adipose	M58	85	3	M5	PTPN11,ITGB1,UBE2D4,COBLL1,REEP5	NA	NA	NA
Adipose	M59	89	3	M5	RNF126,UBAC2,WBP1	G1_DNA_DAMAGE_CHECKPOINT	NA	NA
Adipose	M60	138	3	M5	C7orf27,TP53I13,E4F1,RANGAP1,LRRC41,MRPS18A,TGOLN2,SCRIB	NA	NA	NA
Adipose	M61	413	3	M5	SPSB3,SAFB,RXRB,PRR14,TCF25,TJAP1,HPS6,VPS16,FOXJ2,CTDSP2,GALT,TSPAN4,ULK1,EMD,C16orf48,SLC25A28,GPIHBP1,LOC730316,ARIH2,POM121C,TSPAN9,MOBKL2C,POMT1,CDC37,RBM10,SIN3A	NA	NA	0.000530283055132042
Adipose	M62	22	3	M5	ID1,ID3	CELL_FATE_DETERMINATION	NA	NA
Adipose	M64	80	3	M5	ASPSCR1,BCL7B,ARD1A,BOP1	NA	NA	NA
Adipose	M65	11	3	M5	TRRAP	NA	NA	NA
Adipose	M66	63	3	M5	FAM39E,DDX42,PCNT,LAS1L	NA	NA	NA
Adipose	M67	158	3	M5	STX5,RNF220,EFEMP2,CYB561D1,HNRPUL1,SIX5,TSR2,ZNF358	NA	NA	NA
Adipose	M68	138	3	M5	PUF60,ZNF672,NAT10,MGC3731	NCRNA_METABOLIC_PROCESS	NA	NA
Adipose	M70	50	3	M5	APBB3,MBD6,RBM5	NA	NA	NA
Adipose	M71	121	3	M5	GAK,SGSM2,CCDC130,TNFRSF14,ASCC2,TRABD	NA	NA	NA
Adipose	M72	20	3	M5	RAB10	NA	NA	NA
Adipose	M73	31	3	M5	RPRC1,PHLDB1	NA	NA	NA
Adipose	M74	31	3	M5	TPD52L2,CALM3,EVL	REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	NA	NA
Adipose	M76	21	3	M5	STMN3,ITPR3,WDR54	NA	0.0330509741299921	NA
Adipose	M78	23	3	M5	TMEM205	NA	NA	NA
Adipose	M79	36	3	M5	C14orf173,VEGFB	NA	NA	NA
Adipose	M80	58	3	M5	ADCY4,ARAP3,AIF1L	NA	NA	NA
Adipose	M81	19	3	M5	FBXW4,FLAD1	NA	NA	NA
Adipose	M82	57	3	M5	SHANK3,ZBTB46,C20orf160	ENDOTHELIAL_CELL_DEVELOPMENT	NA	NA
Adipose	M83	15	3	M5	RAPGEF5,BAALC	NA	NA	NA
Adipose	M85	28	3	M5	PRRX2	NA	NA	NA
Adipose	M87	19	3	M5	HADH	SIGNAL_RELEASE	NA	0.0283876670541506
Adipose	M89	11	3	M5	TMED7	NA	NA	NA
Adipose	M91	80	3	M6	CALML5,DSP	SKIN_DEVELOPMENT	NA	NA
Adipose	M93	280	3	M6	LOC653635,TRIML1,SLC25A45,LOC646508,LOC642377,PSENEN,LOC641819,LOC653720,MED1,CALN1,LOC100134420,FGF23,GPR175,ACTRT1,NOC4L,PTPN7	NA	NA	NA
Adipose	M94	89	3	M6	JPH2,SLC19A2,ZNF473,PABPC5,EPB41L4A	NA	NA	NA
Adipose	M95	239	3	M7	CNN1,RPESP,MYH11,PDE5A,KCNMB1,FHL5,ACTA2,PLN,CSRP1,CACNA1H,SUSD2,RERGL,MUSTN1,TPM2,ACTG2	MUSCLE_SYSTEM_PROCESS	NA	NA
Adipose	M97	430	3	M8	LOC100133840,YY1,EIF2C2,CCNY,TRIM23,SLC25A36,LOC441155,COL4A3BP,LOC652330,RSPRY1,PPP2R5E,CSDE1,LOC440349,BBX,GTF2I,LOC440345,GNL3L,MAP3K7,DYRK2,RC3H2,C5orf41,RGPD8,DDR2,ZNF148,RBM12B,MSL3L1,TNRC6B,UBE2H,ZBTB43,LOC653884	NA	NA	NA
Adipose	M98	158	3	M8	PAPD5,DFFA,PCYOX1,RNF115,WDR73,PLA2G16,SNRPD3,CUEDC1	NA	NA	NA
Adipose	M99	48	3	M8	ARID4B,NFAT5	NA	NA	NA
Adipose	M101	116	3	M9	BCLAF1,MARCH7,CAND1,SMAD4	NA	NA	0.00139815220971449
Adipose	M102	47	3	M9	PTK2,GPR116,ZNF322A	NA	NA	0.00070288351889376
Adipose	M103	800	3	M10	LOC100129028,SLBP,METTL7A,LOC642828,PTMA,FKBP3,SEPT7,VPS26,TCP1,MTMR6,LOC388076,OSBPL8,LOC440063,TXNL1,PTGES3,FRG1,MNAT1,LOC389787,NAT13,RAP1B,LOC128192,ISCA1,LOC392285,RAP1BL,RCADH5,HAT1,LOC729340,G3BP1,ATP5C1,IQGAP1,LOC644914,HIF1A,PSMD4,RANBP1,NUCB2,SUMO2,XRCC6,LOC100132457,RBBP7,ZC3H15,LOC727984,EIF1AX,LOC389293,PMS1,AGFG1,PUM1,LOC643357,UNC45A	NUCLEOTIDE_EXCISION_REPAIR	NA	NA
Adipose	M105	314	3	M10	MCTS1,UTP3,FAM162A,FAM98A,NARS,CLTC,MRPL15,TXNDC9,CCNH,C18orf32,GLRX2,C6orf120,NCOR1,ZNF226	TERMINATION_OF_RNA_POLYMERASE_I_TRANSCRIPTION	NA	NA
Adipose	M106	12	3	M10		NA	NA	NA
Adipose	M107	101	3	M10	FYTTD1,CUL4A,UBE4A,OTUD6B,DCTN4,METT11D1,PECI,CDK5RAP3	NA	NA	NA
Adipose	M108	99	3	M10	ACTR3,FLJ20273,MS4A4A,TM9SF2	NA	NA	NA
Adipose	M109	140	3	M10	ANXA2P1,EHD2,YAP1,RPN2,KIF1C,HSPB6,ASPH,ZNF828	NA	NA	NA
Adipose	M110	109	3	M10	DEK,NDUFA11,RAB8B,MRPS11,CLPP	NA	NA	NA
Adipose	M112	98	3	M10	SFRS12,AKAP11,ZNF644,PRRC1	NA	NA	NA
Adipose	M113	49	3	M10	ATP5L,SDHC,PRDX2,NDUFB2	ELECTRON_TRANSPORT_CHAIN	NA	NA
Adipose	M115	30	3	M10	LOC391532,FASTK,TIMM8B	NA	NA	NA
Adipose	M118	46	3	M10	NDUFB7,HINT2	NA	NA	NA
Adipose	M119	33	3	M10	ACSL1,ARMCX1	POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	NA	NA
Adipose	M122	23	3	M10	PSMD14	POST_TRANSLATIONAL_PROTEIN_MODIFICATION	NA	NA
Adipose	M123	54	3	M10	NR2C2,AP1G1,OTUD4	NA	NA	NA
Adipose	M124	17	3	M10	RABL3,RNFT1	NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	NA	NA
Adipose	M127	14	3	M10	ERAL1,TESK1	NA	NA	NA
Adipose	M128	34	3	M10	FBXO3	NA	NA	NA
Adipose	M129	27	3	M10	APH1A,RPL19	NOTCH_RECEPTOR_PROCESSING	NA	NA
Adipose	M130	13	3	M10	LOC100130332,ITM2B	NA	NA	NA
Adipose	M131	37	3	M10	WASL	NA	NA	0.035645829200776
Adipose	M135	15	3	M10	LOC645550	NA	NA	NA
Adipose	M137	594	3	M11	LOC100134504,LOC641848,SFRS11,ZNF146,LOC100131526,LOC646527,FAM179B,RAB33B,KIAA1033,LOC100131672,LOC100129599,LOC728484,LOC645231,COPS2,LOC100134273,USP1,LOC728572,MBNL2,LOC649946,LOC100131572,ATP11B,NACAP1,LOC100132547,ZNF679,LOC100132863,LOC100132499,SAV1,LSM6,TMEM47,LOC100131787,PDE8A,AMY2B	NA	NA	NA
Adipose	M138	667	3	M11	LOC728973,LOC220433,LOC645157,LOC100129742,LOC100131205,LOC388621,LOC388532,LOC651202,HOXA10,LOC731640,LOC100129657,NDUFB10,LOC728060,GMPR2,PRKRA,MRPL10,LOC644907,LOC729255,GIMAP1,LOC100128936,LCOR,SAP30L,LOC730382,LOC646819,LOC388339,LOC728590,UBLCP1,LOC653156,LOC647673,C14orf125,SPTBN1,BAT2D1,PABPC1	CELLULAR_RESPONSE_TO_COPPER_ION	NA	NA
Adipose	M139	499	3	M11	FLJ43681,DDX17,LOC387791,LOC100132291,LOC647030,LOC100128410,LOC653773,LOC652481,RPS28,LOC653658,NDUFAF3,LOC646688,LOC286512,A2M,AKAP1,MRPL20,LIFR,ATP6V1E1,C20orf108,PPP1R12A,LOC391656,LOC645691,FAM116A,LOC642989,PTBP1,SBDSP,SFRS14,LOC646949	NA	NA	NA
Adipose	M141	56	3	M11	LOC647285,LOC390354,LOC729926	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M143	75	3	M11	RAN,LOC100128266,CCT3	POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	NA	NA
Adipose	M144	53	3	M11	PKN2,LOC729513,DNAJB14	NA	NA	NA
Adipose	M145	63	3	M11	COPB2,KPNA4,SEPT2,LOC100131336	NA	NA	NA
Adipose	M147	70	3	M11	CAPRIN1,LBR	NA	NA	NA
Adipose	M148	21	3	M11	SESTD1,OSGIN2	NA	NA	NA
Adipose	M149	341	3	M12	USP49,LOC100131989,PTPLAD2,FAM40B,ZNF223,CCBE1,NLRP8,NUBPL,LOC100132585,DTWD2,LOC644250,TMEM106A,CEP27,SPTLC1,LOC100129502,FAM73A,LOC389765	NA	NA	NA
Adipose	M150	74	3	M12	DEM1,LOC100129211,KIAA1751	NA	NA	NA
Adipose	M151	69	3	M12	LOC100132727,SDHALP1	NA	NA	NA
Adipose	M156	42	3	M13	LOC392437,UCHL1,HNRPDL	NA	NA	NA
Adipose	M157	40	3	M13	TRIM24,LEP	RESPONSE_TO_VITAMIN_E	NA	NA
Adipose	M158	28	3	M13	AKR1C4,LOC146909	PROGESTERONE_METABOLIC_PROCESS	NA	NA
Adipose	M160	45	3	M13	ANXA2,ARF4,SPARC	POST_TRANSLATIONAL_PROTEIN_MODIFICATION	NA	NA
Adipose	M161	20	3	M13	LOC401115,TRAPPC1	NA	NA	NA
Adipose	M163	15	3	M14	LOC100133972,LOC730908	NA	NA	NA
Adipose	M165	29	3	M14	LDHD,BCKDHB	NA	NA	NA
Adipose	M167	23	3	M14	PCCB	MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	NA	NA
Adipose	M170	28	3	M16	GCOM1,SORBS1	CELL_SUBSTRATE_JUNCTION_ASSEMBLY	NA	NA
Adipose	M171	27	3	M16	KANK4,ANKRD38	NA	NA	NA
Adipose	M172	25	3	M16	PMEPA1,HOOK2	NA	NA	NA
Adipose	M173	36	3	M16	MRAP	NA	NA	NA
Adipose	M174	41	3	M16	GPAM,DGAT2	REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	NA	NA
Adipose	M176	14	3	M16	SLC7A4	NA	NA	NA
Adipose	M177	270	3	M17	LOC643863,LOC648249,LOC387867,LOC100130980,LOC441246,RPL4,RPS15A,LOC646942,LOC100129553,LOC148430,LOC401537,LOC728139,LOC642250,LOC651198,LOC286444,LOC441013,RSL1D1	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M178	78	3	M17	LOC729102,PPWD1,LOC648210,STEAP4,HNRPA1P4	NA	NA	NA
Adipose	M180	174	3	M18	PIK3CA,FNDC3A,MEX3C,LOC100131261,PSIP1,PPARBP,ADNP,LOC440280,FCHO2,UBQLN2,RECK,SMARCA5,ZNF281	NA	NA	NA
Adipose	M182	111	3	M18	SF3B2,TMEM55B,CASC3,KEAP1	NA	NA	NA
Adipose	M183	17	3	M18	C16orf45,FKBP9L	NA	NA	NA
Adipose	M184	87	3	M18	SIRT1,SEC24B,CCNG2,KCTD6,NMD3	NA	NA	NA
Adipose	M185	13	3	M18	RRS1,HNRNPAB	NA	NA	NA
Adipose	M187	41	3	M18	SENP7,STAG2,PHIP,ZRANB2	NA	NA	NA
Adipose	M188	172	3	M19	UQCRHL,SDHD,COX7B,EFEMP1,DLD,UQCRC2,LOC729769,NDUFAB1,PTRF,SQSTM1,ECHDC1,ACADM	AEROBIC_RESPIRATION	NA	NA
Adipose	M189	63	3	M19	PSAP,ATP6V1F,ATP6AP1,LAMP1,PLEKHM2	ATP_HYDROLYSIS_COUPLED_TRANSMEMBRANE_TRANSPORT	NA	NA
Adipose	M190	140	3	M20	HMBS,PPIL1,LOC399988,SRPRB,MRPS12,C20orf24,TUBG1	RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	NA	NA
Adipose	M191	97	3	M20	ENO1,ANXA5,ACTR1A,TXN,AP2S1,S100A10	NA	0.00463317749861711	NA
Adipose	M192	38	3	M21	ALDH9A1,RTN3	DICARBOXYLIC_ACID_METABOLIC_PROCESS	NA	NA
Adipose	M193	62	3	M21	COQ9,CYC1,SDHB	CELLULAR_RESPIRATION	NA	0.000558638281132169
Adipose	M194	42	3	M21	ACLY,ELOVL6	STEROL_BIOSYNTHETIC_PROCESS	NA	NA
Adipose	M196	57	3	M21	UQCRFS1,ATP5A1	COENZYME_METABOLIC_PROCESS	NA	0.037645405050559
Adipose	M198	28	3	M21	BRP44,APOO	NA	NA	NA
Adipose	M200	74	3	M22	MRAS,DHDDS,LOC653764	CANONICAL_WNT_SIGNALING_PATHWAY	NA	NA
Adipose	M201	27	3	M22	SURF4,TUBB2C	NA	NA	NA
Adipose	M202	47	3	M22	DAG1,HLF,CYBASC3,REV1	RHYTHMIC_PROCESS	NA	0.037645405050559
Adipose	M206	32	3	M24	OAS2	DEFENSE_RESPONSE_TO_VIRUS	NA	NA
Adipose	M208	44	3	M25	LOC644373,LOC649088	NA	NA	NA
Adipose	M211	208	3	M26	GNG12,MDFIC,CASC4,TMEM168,CCNC,KIF5B,NCKAP1,UBE1DC1,STT3B,CLINT1,XPOT,UBA3,NEK7	NA	NA	NA
Adipose	M212	16	3	M26	CSGALNACT2,RP2	NA	NA	NA
Adipose	M214	19	3	M27	SDHAF2,PSMB6	NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	NA	NA
Adipose	M215	12	3	M27	NDUFS7	NA	NA	NA
Adipose	M217	89	3	M27	MFSD3,POP5,ANAPC11,LOC100133328	NA	NA	NA
Adipose	M219	31	3	M28	COL1A2	COLLAGEN_FIBRIL_ORGANIZATION	NA	NA
Adipose	M221	11	3	M28	PRRX1	NA	NA	NA
Adipose	M223	63	3	M29	KIAA0913,NUMA1,MLL4	NA	NA	NA
Adipose	M224	53	3	M29	UNC84A,RERE	CEREBRAL_CORTEX_DEVELOPMENT	NA	NA
Adipose	M226	12	3	M29	WWC3	NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	NA	NA
Adipose	M227	21	3	M29	EIF4B,EIF4EBP2,HSPB8	NA	NA	NA
Adipose	M230	125	3	M30	CCNT2,CCDC117,HECTD1,GABPA,CSNK1G3,MORC3,SMC3,C5orf24,KIAA2010	PROTEIN_POLYUBIQUITINATION	NA	NA
Adipose	M231	24	3	M30	CNOT7	NA	NA	NA
Adipose	M233	12	3	M30	NUP133	NA	NA	NA
Adipose	M234	11	3	M30	EIF4A2	NA	NA	NA
Adipose	M235	10	3	M30	CYYR1	NA	NA	NA
Adipose	M236	32	4	M32	TUBB1	ANTIMICROBIAL_HUMORAL_RESPONSE	NA	NA
Adipose	M246	14	4	M35	LOC730284	NA	NA	NA
Adipose	M247	19	4	M36	CCL3L3	LYMPHOCYTE_CHEMOTAXIS	0.00348043306625713	NA
Adipose	M250	22	4	M38	NLF2	CELL_CHEMOTAXIS	NA	NA
Adipose	M252	25	4	M38	JUNB,NR4A2,NFKBIZ	NEURON_DEATH	NA	NA
Adipose	M256	34	4	M39	DNASE2B,HAMP	NA	NA	NA
Adipose	M267	35	4	M42	SMS,M6PR,LOC642590	REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	NA	NA
Adipose	M280	20	4	M48	TOP2A,UBE2C	ORGANELLE_FISSION	NA	NA
Adipose	M283	32	4	M49	CTSD,TTYH3	GLYCOSIDE_CATABOLIC_PROCESS	0.000555924596719745	NA
Adipose	M285	21	4	M50	LOC285929,PMP2	ENSHEATHMENT_OF_NEURONS	NA	NA
Adipose	M291	72	4	M55	LOC100133565,RNU1F1,LOC441763,LOC100008589	NA	NA	NA
Adipose	M292	100	4	M55	LOC100132247,LOC728888,TINAGL1,LOC440353,LOC644931	NA	NA	NA
Adipose	M293	106	4	M55	HEATR1,LOC100130123,LOC100132761,SLC9A4,LOC389286	NA	NA	NA
Adipose	M294	113	4	M55	RBM42,KPNA6,CLPTM1,SMG7,FLJ20489	NA	NA	NA
Adipose	M295	46	4	M55	COQ10B,LOC440341,PREI3	NA	NA	NA
Adipose	M296	232	4	M55	CDC42BPB,AGPAT1,LOC407835,GRINA,MTA1,SSBP3,PACS1,INO80E,KCNIP2,LENG8	REGULATION_OF_INTRACELLULAR_TRANSPORT	NA	NA
Adipose	M298	39	4	M55	ATN1	NA	NA	NA
Adipose	M299	97	4	M55	ACIN1,SUPT5H,WASF2,CENPT,VAT1,MIB2,NFE2L1	NA	NA	NA
Adipose	M300	157	4	M55	USP5,INF2,MSH6,ITPK1,ITFG3,ZNF219,SLC38A10,IRAK1,MATR3	NA	NA	NA
Adipose	M301	113	4	M55	ZNF580,CRTC2,RAMP2,NFIX,GDI1	POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	NA	NA
Adipose	M302	73	4	M55	FBRS,NCOR2,GORASP1,CIC,RGL2	NA	NA	NA
Adipose	M303	20	4	M55	RTN4	NA	NA	NA
Adipose	M304	32	4	M55	CBX7,TENC1	NA	NA	NA
Adipose	M305	100	4	M56	CLSTN1,ITGB4,PDIA5,DARC	EXTRACELLULAR_STRUCTURE_ORGANIZATION	NA	NA
Adipose	M306	167	4	M56	UBA1,UBE1,TMEM109,USF2,TMEM184B,UBR4,LTBP3,TNKS1BP1,GBF1,LARP1	NA	NA	NA
Adipose	M309	49	4	M56	ST6GALNAC6,POLR2I	POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	NA	NA
Adipose	M312	11	4	M58	UBE2D4,PPCS	NA	NA	NA
Adipose	M316	44	4	M58	PTPN11	NA	NA	NA
Adipose	M317	67	4	M59	RNF126,UBAC2	NA	NA	NA
Adipose	M318	11	4	M59	WBP1	NA	NA	NA
Adipose	M319	11	4	M59	GGNBP2	NA	NA	NA
Adipose	M322	125	4	M60	C7orf27,E4F1,RANGAP1,LRRC41,TP53I13,TGOLN2,SCRIB	NA	NA	NA
Adipose	M325	286	4	M61	SPSB3,SAFB,RXRB,HPS6,VPS16,CTDSP2,FOXJ2,TJAP1,EMD,C16orf48,SLC25A28,PRR14,TCF25,TSPAN4,ULK1	NA	NA	0.00614822964901713
Adipose	M333	52	4	M64	ASPSCR1,BCL7B,ARD1A,DDA1	NA	NA	NA
Adipose	M336	50	4	M66	FAM39E	NA	NA	NA
Adipose	M337	13	4	M66	DDX42	NA	NA	NA
Adipose	M338	26	4	M67	RNF220	NA	NA	NA
Adipose	M339	107	4	M67	STX5,HNRPUL1,SIX5,CYB561D1	NA	NA	NA
Adipose	M341	83	4	M68	PUF60,MGC3731	NA	NA	NA
Adipose	M342	20	4	M68	ZNF672,NAT10	TRNA_PROCESSING	NA	NA
Adipose	M348	19	4	M69	NISCH	EPOXYGENASE_P450_PATHWAY	NA	NA
Adipose	M351	35	4	M70	APBB3,RBM5	NA	NA	NA
Adipose	M352	85	4	M71	GAK,SGSM2,ASCC2,TRABD	NA	NA	NA
Adipose	M353	17	4	M71	CCDC130	NA	NA	NA
Adipose	M359	12	4	M74	CALM3	NA	NA	NA
Adipose	M365	28	4	M79	C14orf173	NA	NA	NA
Adipose	M368	49	4	M80	ADCY4,AIF1L	NA	NA	NA
Adipose	M371	33	4	M82	SHANK3,RASIP1	ENDOTHELIUM_DEVELOPMENT	NA	NA
Adipose	M373	12	4	M82	PDE2A	NA	NA	NA
Adipose	M376	17	4	M91	TCHH,FABP9,VSIG8	NA	NA	NA
Adipose	M377	47	4	M91	CALML5,DSP	EPIDERMIS_DEVELOPMENT	NA	NA
Adipose	M378	16	4	M91	LOC643719,ZNF807	NA	NA	NA
Adipose	M381	47	4	M93	LOC642377,LOC646508,GPR175	NETRIN_ACTIVATED_SIGNALING_PATHWAY	NA	NA
Adipose	M382	58	4	M93	LOC653635,FGF23	PEPTIDE_CROSS_LINKING	NA	NA
Adipose	M383	72	4	M93	TRIML1,LOC653720,PSENEN	NA	NA	NA
Adipose	M385	12	4	M94	LOC100133478	NA	NA	NA
Adipose	M388	61	4	M94	JPH2,SLC19A2,PABPC5,ZNF473	NA	NA	NA
Adipose	M389	126	4	M95	CNN1,RPESP,KCNMB1,CSRP1,MUSTN1	MUSCLE_SYSTEM_PROCESS	NA	NA
Adipose	M390	30	4	M95	ACTA2,TPM2	MUSCLE_FILAMENT_SLIDING	NA	NA
Adipose	M391	19	4	M95	RERGL,LOC100134444	NA	NA	NA
Adipose	M392	29	4	M95	PDE5A,FHL5	PENILE_ERECTION	NA	NA
Adipose	M394	15	4	M95	SUSD2	NA	NA	NA
Adipose	M399	10	4	M96	FNDC1	NA	0.00966680038197763	NA
Adipose	M402	12	4	M96	DPYSL3	NA	NA	NA
Adipose	M403	13	4	M97	DDR2	NA	NA	NA
Adipose	M404	35	4	M97	BBX,MSL3L1	NA	NA	NA
Adipose	M405	18	4	M97	LOC440345,TNRC6B	NA	NA	NA
Adipose	M406	31	4	M97	SLC25A36,CSDE1	NA	NA	NA
Adipose	M407	50	4	M97	EIF2C2,CCNY,LOC646808	NA	NA	NA
Adipose	M408	124	4	M97	LOC100133840,RSPRY1,RC3H2	NA	NA	NA
Adipose	M409	38	4	M97	YY1	NEGATIVE_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	NA	NA
Adipose	M412	18	4	M97	UBE2H	NA	NA	NA
Adipose	M413	19	4	M97	LOC441155	NA	NA	NA
Adipose	M416	11	4	M97	GTF2I	NA	NA	NA
Adipose	M422	57	4	M98	DFFA,PCYOX1,CUEDC1	REGULATION_OF_APOPTOTIC_DNA_FRAGMENTATION	NA	NA
Adipose	M423	76	4	M98	PAPD5,RNF115	NA	NA	NA
Adipose	M424	23	4	M98	PLA2G16,UGCGL1,GRB2	NA	NA	NA
Adipose	M425	39	4	M99	ARID4B	NA	NA	NA
Adipose	M430	14	4	M100	RPS6KB1,FAM160B1	NA	NA	0.0479619933698543
Adipose	M431	40	4	M100	RSBN1,ZNF615	NA	NA	NA
Adipose	M432	11	4	M100	GNA13	NA	NA	NA
Adipose	M434	62	4	M101	MARCH7,CAND1	MULTI_ORGANISM_LOCALIZATION	NA	NA
Adipose	M436	37	4	M102	PTK2,ZNF322A	NA	NA	0.00209545059580058
Adipose	M438	180	4	M103	SLBP,MTMR6,OSBPL8,VPS26,NAT13,RAP1B,HIF1A,AGFG1,UNC45A	NA	NA	NA
Adipose	M440	141	4	M104	LOC729009,TMSL3,FTHL3,FTHL8,FTHL2,FTHL12,FTHL11,RBMS3	NA	NA	0.0271715212532588
Adipose	M443	305	4	M105	MCTS1,UTP3,FAM162A,FAM98A,NARS,CLTC,MRPL15,TXNDC9,CCNH,C18orf32,GLRX2,C6orf120,NCOR1,ZNF226	TERMINATION_OF_RNA_POLYMERASE_I_TRANSCRIPTION	NA	NA
Adipose	M447	77	4	M107	FYTTD1,CUL4A,UBE4A,DCTN4,PECI,OTUD6B	NA	NA	NA
Adipose	M450	69	4	M108	ACTR3,TM9SF2	NA	NA	NA
Adipose	M453	108	4	M109	ANXA2P1,YAP1,EHD2,RPN2,ASPH,ZNF828	ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	NA	NA
Adipose	M457	50	4	M110	DEK	NA	NA	NA
Adipose	M458	22	4	M110	NDUFA11	MITOCHONDRIAL_TRANSLATION	NA	NA
Adipose	M459	21	4	M110	RAB8B	NA	NA	NA
Adipose	M463	91	4	M112	SFRS12,AKAP11,ZNF644,PRRC1	NA	NA	NA
Adipose	M465	22	4	M113	ATP5L	NA	NA	NA
Adipose	M466	26	4	M113	PRDX2,SDHC	ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	NA	NA
Adipose	M467	14	4	M115	LOC391532	NA	NA	NA
Adipose	M470	33	4	M118	NDUFB7	NA	NA	NA
Adipose	M472	21	4	M119	ACSL1	XENOBIOTIC_METABOLIC_PROCESS	NA	NA
Adipose	M474	24	4	M120	CNBP,LOC731777	TRANSLATIONAL_INITIATION	NA	0.0163779953655906
Adipose	M478	26	4	M123	NR2C2	NA	NA	NA
Adipose	M484	14	4	M128	FBXO3,ATF2	NA	NA	NA
Adipose	M487	31	4	M131	WASL,KCTD3	NA	NA	0.0137484064005465
Adipose	M490	123	4	M137	LOC100131526,LOC100129599,LOC100131672,LOC728572,LOC100134273,SAV1,LOC100132547	NA	NA	NA
Adipose	M491	229	4	M137	LOC100134504,LOC641848,LOC646527,LOC645231,RAB33B,LOC649946,COPS2,LOC100131572,NACAP1,LOC100132863,LSM6	NA	NA	NA
Adipose	M492	75	4	M137	SFRS11,KIAA1033	NA	NA	NA
Adipose	M499	130	4	M138	LOC100129742,LOC100131205,LOC646819,LOC728590	NA	NA	NA
Adipose	M500	127	4	M138	LOC388532,LOC645157,LOC731640,LOC388621,LOC100128936,LOC388339,SPTBN1	NA	NA	NA
Adipose	M501	153	4	M138	LOC220433,LOC651202,LOC100129657,LOC728060,LOC729255,LCOR,LOC730382,LOC647673,C14orf125	NA	NA	NA
Adipose	M502	18	4	M138	LOC653156	NA	NA	NA
Adipose	M503	131	4	M138	LOC728973,GMPR2,NDUFB10,LOC644907,SAP30L,MRPL10	NA	NA	NA
Adipose	M506	33	4	M138	HOXA10	PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	NA	NA
Adipose	M513	172	4	M139	FLJ43681,LOC100128410,LOC100132291,LOC653773,RPS28,LOC647030,LOC642989,LOC286512,LOC729208,LOC645691	NA	NA	NA
Adipose	M514	107	4	M139	DDX17,LOC653658,A2M,FAM116A,LIFR,PPP1R12A,SBDSP	NA	NA	NA
Adipose	M515	71	4	M139	LOC387791,C20orf108,PTBP1	NA	NA	NA
Adipose	M517	38	4	M139	LOC652481,MRPL20	PROTEIN_TRANSMEMBRANE_TRANSPORT	NA	NA
Adipose	M518	14	4	M139	LOC643873	NA	NA	NA
Adipose	M519	28	4	M139	NDUFAF3	NA	NA	NA
Adipose	M528	28	4	M141	LOC647285	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M530	19	4	M141	LOC390354	NA	NA	NA
Adipose	M531	32	4	M143	LOC100128266	NA	NA	NA
Adipose	M535	49	4	M144	PKN2,LOC729513,DNAJB14	NA	NA	NA
Adipose	M537	17	4	M145	LOC100131336,KPNA4	NA	NA	NA
Adipose	M538	45	4	M145	COPB2,SEPT2	NA	NA	NA
Adipose	M539	59	4	M147	CAPRIN1,LBR	NA	NA	NA
Adipose	M544	22	4	M150	DEM1,ZNF483	NA	NA	NA
Adipose	M547	52	4	M151	LOC100132727,LOC653086	NA	NA	NA
Adipose	M549	21	4	M158	AKR1C4	PROGESTERONE_METABOLIC_PROCESS	NA	NA
Adipose	M551	20	4	M160	ANXA2,PSMC2	MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	NA	NA
Adipose	M553	13	4	M160	SPARC	NA	NA	NA
